"","Census","sp","AWR"
"1",2,"acne",0.00675433025985829
"2",2,"acpl",0.000247750845748881
"3",2,"acru",0.00468487288825364
"4",2,"acsp",4.84171651368214e-05
"5",2,"amar",0.0029532163466477
"6",2,"astr",0.26702928957501
"7",2,"beth",0.000780915345524802
"8",2,"caca",0.15733476743364
"9",2,"caco",0.00382923976015765
"10",2,"cagl",0.0086581119456182
"11",2,"caovl",0.00319995706331986
"12",2,"casp",0.000458747519580153
"13",2,"cato",0.005381246223679
"14",2,"ceca",0.0326643841471467
"15",2,"ceoc",0.00102582717600364
"16",2,"coal",9.2423115196245e-05
"17",2,"cofl",0.00129860320515723
"18",2,"crsp",6.12273855858157e-05
"19",2,"elum",0.00490261892737525
"20",2,"eual",0.000206981060115876
"21",2,"fagr",0.0102105501389208
"22",2,"fram",0.0173712606801123
"23",2,"frni",0.000880000393205141
"24",2,"frpe",0.000700679676120175
"25",2,"havi",0.0244259143012645
"26",2,"iibe",6.64958100490445e-05
"27",2,"ilve",0.0008674562807366
"28",2,"juni",0.00110497461617427
"29",2,"libe",0.979754799721979
"30",2,"litu",0.0115485835261811
"31",2,"loma",0.00181624002274757
"32",2,"nysy",0.00563915079500647
"33",2,"pato",0.00234065845923175
"34",2,"ploc",4.85115013928567e-05
"35",2,"prav",0.000952570241718562
"36",2,"prse",0.00272331842308892
"37",2,"prsp",3.2861500751452e-05
"38",2,"qual",0.00076069771715891
"39",2,"qupr",0.0016956653638138
"40",2,"quru",0.00204930176777167
"41",2,"quve",0.000379265586339844
"42",2,"romu",0.00365335295039603
"43",2,"saal",0.00199213002225143
"44",2,"saca",0.000398981763130122
"45",2,"tiam",0.00456606006653823
"46",2,"ulam",0.000135495340177371
"47",2,"ulru",0.00788597670463389
"48",2,"viac",4.33260500106775e-05
"49",2,"vipr",0.0133093247472723
"50",2,"vire",9.22253548112376e-05
"51",3,"acne",0.0274358333918513
"52",3,"acpl",0.000407099393363865
"53",3,"acru",0.0019443643333971
"54",3,"aial",0.00101179161089936
"55",3,"amar",0.0025301347710273
"56",3,"astr",0.202489620250306
"57",3,"beth",0.00148201778670467
"58",3,"caca",0.182937204934837
"59",3,"caco",0.00437980495881158
"60",3,"cade",0.00023947131227838
"61",3,"cagl",0.00519196181243075
"62",3,"caovl",0.00358998259258097
"63",3,"casp",0.000392211179620363
"64",3,"cato",0.00580747037545263
"65",3,"ceca",0.0239057118206783
"66",3,"ceoc",9.74287359438532e-05
"67",3,"chvi",0.000217777276898937
"68",3,"coam",0.000400141036344575
"69",3,"cofl",0.00130196940971495
"70",3,"cosp",4.23238102858822e-05
"71",3,"crsp",8.64519300815941e-05
"72",3,"elum",0.032666033561374
"73",3,"eual",0.00192313654760312
"74",3,"fagr",0.0193010695466291
"75",3,"fram",0.0110911368413166
"76",3,"frni",0.000820958235710596
"77",3,"frpe",0.000365378673084133
"78",3,"frsp",0.000127474571594006
"79",3,"havi",0.046207023628843
"80",3,"ilve",0.00156862934348024
"81",3,"juci",0.000371650524110602
"82",3,"juni",7.9094086700885e-05
"83",3,"libe",1.32821312307197
"84",3,"litu",0.00664801656424569
"85",3,"loma",0.00247326337126312
"86",3,"nysy",0.00281402712696243
"87",3,"pato",0.000287017002776848
"88",3,"ploc",0.000501457565229307
"89",3,"prav",0.00202610085467058
"90",3,"prse",0.00127560233325151
"91",3,"qual",0.00129244504310328
"92",3,"qupr",0.00377740431271766
"93",3,"quru",0.00317686242368219
"94",3,"quve",0.000357877981502394
"95",3,"rhpe",4.5098892761296e-05
"96",3,"romu",0.00311993601180816
"97",3,"rops",0.00156026763264493
"98",3,"saal",0.00108533997847811
"99",3,"saca",0.000760590740348237
"100",3,"tiam",0.00462293922753781
"101",3,"ulam",0.000143266226852838
"102",3,"ulru",0.0157596248926405
"103",3,"viac",0.000200931741693167
"104",3,"vipr",0.0157287654271444
"105",4,"acne",0.00852571615796421
"106",4,"acpl",0.00012820538495569
"107",4,"acru",0.000682672292298946
"108",4,"acsp",0.00021920550435065
"109",4,"amar",0.00374091580502767
"110",4,"astr",0.214637105269884
"111",4,"beth",0.000115594009474643
"112",4,"caca",0.136092154406513
"113",4,"caco",0.00361926045621912
"114",4,"cade",0.000166349863499422
"115",4,"cagl",0.00382368724562853
"116",4,"caovl",0.00430128517758178
"117",4,"casp",0.00206954113858925
"118",4,"cato",0.00356470567377633
"119",4,"ceca",0.0420471004710189
"120",4,"ceoc",0.000480578326650196
"121",4,"chvi",0.000399655200118258
"122",4,"coam",4.10512145514358e-05
"123",4,"cofl",5.53964803965231e-05
"124",4,"crsp",7.00111742798396e-05
"125",4,"elum",0.0321462936786596
"126",4,"eual",0.00122126365066827
"127",4,"fagr",0.0102407365289859
"128",4,"fram",0.0103781089786955
"129",4,"frni",0.000127474571594006
"130",4,"frpe",0.000874963278550673
"131",4,"frsp",0.0020576876487852
"132",4,"havi",0.03332789222912
"133",4,"ilve",0.000600593101606528
"134",4,"juni",0.000664150326101289
"135",4,"libe",0.878757828792105
"136",4,"litu",0.00656051863283225
"137",4,"loma",0.000459868633171418
"138",4,"nysy",0.000598524715513298
"139",4,"ploc",0.000122186418964972
"140",4,"prav",0.000898565611659524
"141",4,"prse",0.000791497233295946
"142",4,"prsp",0.000355876198509821
"143",4,"qual",0.000147093904409637
"144",4,"qumi",0.00031265889602027
"145",4,"qupr",0.00307157081922484
"146",4,"quru",0.00877738958565364
"147",4,"quve",0.00127780940763688
"148",4,"romu",0.00414330568458505
"149",4,"rops",0.00251874672431095
"150",4,"saal",0.00209789143411277
"151",4,"tiam",0.000321258876725348
"152",4,"ulam",0.000403248565125295
"153",4,"ulru",0.011744697805911
"154",4,"ulsp",0.00347814058881119
"155",4,"unk",0.00277788887266531
"156",4,"vipr",0.0175085539233477
