"","tag","main_stem_quad","second_stem_quad","correct_quad"
"1",10592,113,102,NA
"2",10594,113,102,NA
"3",10637,112,102,NA
"4",10704,113,102,NA
"5",12012,117,109,NA
"6",12041,118,109,NA
"7",12042,118,109,NA
"8",12065,119,103,NA
"9",12079,119,103,NA
"10",12208,123,119,NA
"11",12219,123,119,NA
"12",12220,123,119,NA
"13",12225,123,119,NA
"14",12229,123,119,NA
"15",12306,126,114,NA
"16",12330,127,119,NA
"17",12396,129,126,NA
"18",12400,129,126,NA
"19",12401,129,126,NA
"20",13132,113,102,NA
"21",13210,129,126,NA
"22",13212,129,126,NA
"23",13222,129,126,NA
"24",13223,129,126,NA
"25",13224,129,126,NA
"26",13228,129,126,NA
"27",13230,129,126,NA
"28",13231,129,126,NA
"29",13515,116,103,NA
"30",13518,119,103,NA
"31",13519,120,109,NA
"32",13570,126,114,NA
"33",13574,127,119,NA
"34",13577,127,119,NA
"35",13578,127,119,NA
"36",13620,125,122,NA
"37",13828,129,126,NA
"38",13829,129,126,NA
"39",13851,129,126,NA
"40",13862,129,126,NA
"41",13865,129,126,NA
"42",13871,129,126,NA
"43",13873,129,126,NA
"44",13874,129,126,NA
"45",13891,130,126,NA
"46",13892,130,126,NA
"47",13893,130,126,NA
"48",13895,130,126,NA
"49",13898,130,126,NA
"50",13900,130,126,NA
"51",13901,129,126,NA
"52",13910,129,126,NA
"53",13959,130,126,NA
"54",13963,130,126,NA
"55",30423,311,312,NA
"56",33561,329,330,NA
"57",53854,513,515,NA
"58",53855,513,515,NA
"59",62484,614,613,NA
"60",70991,711,710,NA
"61",80696,816,815,NA
"62",112053,1117,1116,NA
"63",112054,1117,1116,NA
"64",140271,1401,1402,NA
"65",160186,1602,2008,NA
"66",160433,1603,2007,NA
"67",160436,1603,2007,NA
"68",160444,1603,2007,NA
"69",160453,1603,2007,NA
"70",160702,1603,2007,NA
"71",163781,1631,1630,NA
"72",170082,1701,1402,NA
"73",170947,1703,1704,NA
"74",173545,1704,1702,NA
"75",173647,1703,1704,NA
"76",180915,1808,1810,NA
"77",180943,1810,1802,NA
"78",181137,1810,1802,NA
"79",193252,1904,1901,NA
"80",200305,2002,2001,NA
"81",200457,2003,1908,NA
"82",200697,2009,2006,NA
"83",200764,2010,2003,NA
"84",201020,2010,2003,NA
"85",201103,2010,2003,NA
"86",201105,2010,2003,NA
"87",201110,2010,2003,NA
"88",201143,2010,2003,NA
"89",203322,2003,1908,NA
"90",203329,2005,1903,NA
"91",203959,2010,2003,NA
"92",203968,2010,2003,NA
"93",203997,2010,2003,NA
"94",204501,2010,2003,NA
"95",204537,2010,2003,NA
"96",204570,2010,2003,NA
